"timestamp_utc","run_name","namespace","stage_index","stage_users","stage_duration_min","service","deployment_spec_replicas","deployment_status_replicas","deployment_ready_replicas","deployment_available_replicas","deployment_updated_replicas","hpa_name","hpa_current_replicas","hpa_desired_replicas","hpa_min_replicas","hpa_max_replicas"
"2026-06-20 23:29:48","ab_20260621_022706_A_proposed","default","1","30","3","frontend","1","1","1","1","1","keda-hpa-frontend-predicted-replicas-scaler","1","1","1","10"
"2026-06-20 23:29:48","ab_20260621_022706_A_proposed","default","1","30","3","paymentservice","1","1","1","1","1","keda-hpa-paymentservice-predicted-replicas-scaler","1","1","1","10"
"2026-06-20 23:29:48","ab_20260621_022706_A_proposed","default","1","30","3","productcatalogservice","1","1","1","1","1","keda-hpa-productcatalogservice-predicted-replicas-scaler","1","1","1","10"
"2026-06-20 23:29:48","ab_20260621_022706_A_proposed","default","1","30","3","recommendationservice","1","1","1","1","1","keda-hpa-recommendationservice-predicted-replicas-scaler","1","1","1","10"
"2026-06-20 23:29:48","ab_20260621_022706_A_proposed","default","1","30","3","shippingservice","1","1","1","1","1","keda-hpa-shippingservice-predicted-replicas-scaler","1","1","1","10"
"2026-06-20 23:29:59","ab_20260621_022706_A_proposed","default","1","30","3","adservice","1","1","1","1","1","keda-hpa-adservice-predicted-replicas-scaler","1","1","1","10"
"2026-06-20 23:29:59","ab_20260621_022706_A_proposed","default","1","30","3","cartservice","1","1","1","1","1","keda-hpa-cartservice-predicted-replicas-scaler","1","1","1","10"
"2026-06-20 23:29:59","ab_20260621_022706_A_proposed","default","1","30","3","checkoutservice","1","1","1","1","1","keda-hpa-checkoutservice-predicted-replicas-scaler","1","1","1","10"
"2026-06-20 23:29:59","ab_20260621_022706_A_proposed","default","1","30","3","currencyservice","1","1","1","1","1","keda-hpa-currencyservice-predicted-replicas-scaler","1","1","1","10"
"2026-06-20 23:29:59","ab_20260621_022706_A_proposed","default","1","30","3","emailservice","1","1","1","1","1","keda-hpa-emailservice-predicted-replicas-scaler","1","1","1","10"
"2026-06-20 23:29:59","ab_20260621_022706_A_proposed","default","1","30","3","frontend","1","1","1","1","1","keda-hpa-frontend-predicted-replicas-scaler","1","1","1","10"
"2026-06-20 23:29:59","ab_20260621_022706_A_proposed","default","1","30","3","paymentservice","1","1","1","1","1","keda-hpa-paymentservice-predicted-replicas-scaler","1","1","1","10"
"2026-06-20 23:29:59","ab_20260621_022706_A_proposed","default","1","30","3","productcatalogservice","1","1","1","1","1","keda-hpa-productcatalogservice-predicted-replicas-scaler","1","1","1","10"
"2026-06-20 23:29:59","ab_20260621_022706_A_proposed","default","1","30","3","recommendationservice","1","1","1","1","1","keda-hpa-recommendationservice-predicted-replicas-scaler","1","1","1","10"
"2026-06-20 23:29:59","ab_20260621_022706_A_proposed","default","1","30","3","shippingservice","1","1","1","1","1","keda-hpa-shippingservice-predicted-replicas-scaler","1","1","1","10"
"2026-06-20 23:30:11","ab_20260621_022706_A_proposed","default","1","30","3","adservice","1","1","1","1","1","keda-hpa-adservice-predicted-replicas-scaler","1","1","1","10"
"2026-06-20 23:30:11","ab_20260621_022706_A_proposed","default","1","30","3","cartservice","1","1","1","1","1","keda-hpa-cartservice-predicted-replicas-scaler","1","1","1","10"
"2026-06-20 23:30:11","ab_20260621_022706_A_proposed","default","1","30","3","checkoutservice","1","1","1","1","1","keda-hpa-checkoutservice-predicted-replicas-scaler","1","1","1","10"
"2026-06-20 23:30:11","ab_20260621_022706_A_proposed","default","1","30","3","currencyservice","1","1","1","1","1","keda-hpa-currencyservice-predicted-replicas-scaler","1","1","1","10"
"2026-06-20 23:30:11","ab_20260621_022706_A_proposed","default","1","30","3","emailservice","1","1","1","1","1","keda-hpa-emailservice-predicted-replicas-scaler","1","1","1","10"
"2026-06-20 23:30:11","ab_20260621_022706_A_proposed","default","1","30","3","frontend","1","1","1","1","1","keda-hpa-frontend-predicted-replicas-scaler","1","1","1","10"
"2026-06-20 23:30:11","ab_20260621_022706_A_proposed","default","1","30","3","paymentservice","1","1","1","1","1","keda-hpa-paymentservice-predicted-replicas-scaler","1","1","1","10"
"2026-06-20 23:30:11","ab_20260621_022706_A_proposed","default","1","30","3","productcatalogservice","1","1","1","1","1","keda-hpa-productcatalogservice-predicted-replicas-scaler","1","1","1","10"
"2026-06-20 23:30:11","ab_20260621_022706_A_proposed","default","1","30","3","recommendationservice","1","1","1","1","1","keda-hpa-recommendationservice-predicted-replicas-scaler","1","1","1","10"
"2026-06-20 23:30:11","ab_20260621_022706_A_proposed","default","1","30","3","shippingservice","1","1","1","1","1","keda-hpa-shippingservice-predicted-replicas-scaler","1","1","1","10"
"2026-06-20 23:30:23","ab_20260621_022706_A_proposed","default","1","30","3","adservice","1","1","1","1","1","keda-hpa-adservice-predicted-replicas-scaler","1","1","1","10"
"2026-06-20 23:30:23","ab_20260621_022706_A_proposed","default","1","30","3","cartservice","1","1","1","1","1","keda-hpa-cartservice-predicted-replicas-scaler","1","1","1","10"
"2026-06-20 23:30:23","ab_20260621_022706_A_proposed","default","1","30","3","checkoutservice","1","1","1","1","1","keda-hpa-checkoutservice-predicted-replicas-scaler","1","1","1","10"
"2026-06-20 23:30:23","ab_20260621_022706_A_proposed","default","1","30","3","currencyservice","1","1","1","1","1","keda-hpa-currencyservice-predicted-replicas-scaler","1","1","1","10"
"2026-06-20 23:30:23","ab_20260621_022706_A_proposed","default","1","30","3","emailservice","1","1","1","1","1","keda-hpa-emailservice-predicted-replicas-scaler","1","1","1","10"
"2026-06-20 23:30:23","ab_20260621_022706_A_proposed","default","1","30","3","frontend","1","1","1","1","1","keda-hpa-frontend-predicted-replicas-scaler","1","1","1","10"
"2026-06-20 23:30:23","ab_20260621_022706_A_proposed","default","1","30","3","paymentservice","1","1","1","1","1","keda-hpa-paymentservice-predicted-replicas-scaler","1","1","1","10"
"2026-06-20 23:30:23","ab_20260621_022706_A_proposed","default","1","30","3","productcatalogservice","1","1","1","1","1","keda-hpa-productcatalogservice-predicted-replicas-scaler","1","1","1","10"
"2026-06-20 23:30:23","ab_20260621_022706_A_proposed","default","1","30","3","recommendationservice","1","1","1","1","1","keda-hpa-recommendationservice-predicted-replicas-scaler","1","1","1","10"
"2026-06-20 23:30:23","ab_20260621_022706_A_proposed","default","1","30","3","shippingservice","1","1","1","1","1","keda-hpa-shippingservice-predicted-replicas-scaler","1","1","1","10"
"2026-06-20 23:30:35","ab_20260621_022706_A_proposed","default","1","30","3","adservice","3","3","1","1","3","keda-hpa-adservice-predicted-replicas-scaler","1","3","1","10"
"2026-06-20 23:30:35","ab_20260621_022706_A_proposed","default","1","30","3","cartservice","2","2","1","1","2","keda-hpa-cartservice-predicted-replicas-scaler","1","2","1","10"
"2026-06-20 23:30:35","ab_20260621_022706_A_proposed","default","1","30","3","checkoutservice","1","1","1","1","1","keda-hpa-checkoutservice-predicted-replicas-scaler","1","1","1","10"
"2026-06-20 23:30:35","ab_20260621_022706_A_proposed","default","1","30","3","currencyservice","3","3","1","1","3","keda-hpa-currencyservice-predicted-replicas-scaler","1","3","1","10"
"2026-06-20 23:30:35","ab_20260621_022706_A_proposed","default","1","30","3","emailservice","2","1","1","1","1","keda-hpa-emailservice-predicted-replicas-scaler","1","2","1","10"
"2026-06-20 23:30:35","ab_20260621_022706_A_proposed","default","1","30","3","frontend","1","1","1","1","1","keda-hpa-frontend-predicted-replicas-scaler","1","4","1","10"
"2026-06-20 23:30:35","ab_20260621_022706_A_proposed","default","1","30","3","paymentservice","1","1","1","1","1","keda-hpa-paymentservice-predicted-replicas-scaler","1","1","1","10"
"2026-06-20 23:30:35","ab_20260621_022706_A_proposed","default","1","30","3","productcatalogservice","1","1","1","1","1","keda-hpa-productcatalogservice-predicted-replicas-scaler","1","1","1","10"
"2026-06-20 23:30:35","ab_20260621_022706_A_proposed","default","1","30","3","recommendationservice","1","1","1","1","1","keda-hpa-recommendationservice-predicted-replicas-scaler","1","1","1","10"
"2026-06-20 23:30:35","ab_20260621_022706_A_proposed","default","1","30","3","shippingservice","1","1","1","1","1","keda-hpa-shippingservice-predicted-replicas-scaler","1","1","1","10"
"2026-06-20 23:30:48","ab_20260621_022706_A_proposed","default","1","30","3","adservice","3","3","1","1","3","keda-hpa-adservice-predicted-replicas-scaler","1","3","1","10"
"2026-06-20 23:30:48","ab_20260621_022706_A_proposed","default","1","30","3","cartservice","2","2","1","1","2","keda-hpa-cartservice-predicted-replicas-scaler","1","2","1","10"
"2026-06-20 23:30:48","ab_20260621_022706_A_proposed","default","1","30","3","checkoutservice","1","1","1","1","1","keda-hpa-checkoutservice-predicted-replicas-scaler","1","1","1","10"
"2026-06-20 23:30:48","ab_20260621_022706_A_proposed","default","1","30","3","currencyservice","3","3","1","1","3","keda-hpa-currencyservice-predicted-replicas-scaler","1","3","1","10"
"2026-06-20 23:30:48","ab_20260621_022706_A_proposed","default","1","30","3","emailservice","2","2","1","1","2","keda-hpa-emailservice-predicted-replicas-scaler","1","2","1","10"
"2026-06-20 23:30:48","ab_20260621_022706_A_proposed","default","1","30","3","frontend","4","4","1","1","4","keda-hpa-frontend-predicted-replicas-scaler","1","4","1","10"
"2026-06-20 23:30:48","ab_20260621_022706_A_proposed","default","1","30","3","paymentservice","2","2","1","1","2","keda-hpa-paymentservice-predicted-replicas-scaler","1","2","1","10"
"2026-06-20 23:30:48","ab_20260621_022706_A_proposed","default","1","30","3","productcatalogservice","2","2","1","1","2","keda-hpa-productcatalogservice-predicted-replicas-scaler","1","2","1","10"
"2026-06-20 23:30:48","ab_20260621_022706_A_proposed","default","1","30","3","recommendationservice","3","3","1","1","3","keda-hpa-recommendationservice-predicted-replicas-scaler","1","3","1","10"
"2026-06-20 23:30:48","ab_20260621_022706_A_proposed","default","1","30","3","shippingservice","1","1","1","1","1","keda-hpa-shippingservice-predicted-replicas-scaler","1","1","1","10"
"2026-06-20 23:31:00","ab_20260621_022706_A_proposed","default","1","30","3","adservice","3","3","1","1","3","keda-hpa-adservice-predicted-replicas-scaler","3","3","1","10"
"2026-06-20 23:31:00","ab_20260621_022706_A_proposed","default","1","30","3","cartservice","2","2","1","1","2","keda-hpa-cartservice-predicted-replicas-scaler","2","2","1","10"
"2026-06-20 23:31:00","ab_20260621_022706_A_proposed","default","1","30","3","checkoutservice","1","1","1","1","1","keda-hpa-checkoutservice-predicted-replicas-scaler","1","1","1","10"
"2026-06-20 23:31:00","ab_20260621_022706_A_proposed","default","1","30","3","currencyservice","3","3","1","1","3","keda-hpa-currencyservice-predicted-replicas-scaler","3","3","1","10"
"2026-06-20 23:31:00","ab_20260621_022706_A_proposed","default","1","30","3","emailservice","2","2","1","1","2","keda-hpa-emailservice-predicted-replicas-scaler","2","2","1","10"
"2026-06-20 23:31:00","ab_20260621_022706_A_proposed","default","1","30","3","frontend","5","5","1","1","5","keda-hpa-frontend-predicted-replicas-scaler","4","5","1","10"
"2026-06-20 23:31:00","ab_20260621_022706_A_proposed","default","1","30","3","paymentservice","2","2","1","1","2","keda-hpa-paymentservice-predicted-replicas-scaler","2","2","1","10"
